Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind wünscht sich, dass alle die gleiche Stimme bei Entscheidungen haben.;Ethik und Gesellschaft;Gesellschaft;Demokratieverständnis;Förderung von Mitbestimmung und Gleichheit;5+ Jahre;Abstimmungen, Kinderparlament, Gespräch über „Stimme und Entscheidung“
Das Kind schlägt vor, Müll aus dem Fluss zu holen.;Ethik und Gesellschaft;Ethik;Umwelthandeln;Förderung ökologischer Verantwortung und Initiative;4+ Jahre;Flussreinigungsprojekt, Ausflug mit Müllgreifern, Naturputz-Aktion
Das Kind fragt, warum manche Kinder kein Spielzeug haben.;Ethik und Gesellschaft;Gesellschaft;Soziale Unterschiede;Förderung von Bewusstsein für soziale Ungleichheit;4+ Jahre;Gespräch „Was ist gerecht?“, Mitbringecke für andere, Geschichte „Sami hat nichts“
Das Kind möchte einem Kind aus einer anderen Kultur ein Lied beibringen.;Ethik und Gesellschaft;Gesellschaft;Interkultureller Austausch;Förderung von Neugier und kulturellem Lernen;4+ Jahre;Lieder aus aller Welt singen, Musikfest, „Mein Lied für dich“-Projekt
Das Kind fragt, warum Mädchen in manchen Ländern nicht zur Schule dürfen.;Ethik und Gesellschaft;Gesellschaft;Bildungsungleichheit;Förderung von globaler Gerechtigkeit und Mädchenrechten;5+ Jahre;Mädchenbildungsprojekte, Gespräch über Schule weltweit, Kinderrechtsplakat
Das Kind hilft, eine Spendenaktion zu organisieren.;Ethik und Gesellschaft;Ethik;Soziale Verantwortung;Förderung aktiver Hilfe und Empathie;5+ Jahre;Flohmarkt für guten Zweck, Spendensammelrunde, Patenschaftsprojekt
Das Kind meint: „Tiere brauchen auch ein Zuhause.“;Ethik und Gesellschaft;Ethik;Tierschutz;Förderung von Verantwortung für Lebewesen;4+ Jahre;Bau eines Tierhauses, Gespräche über Haustiere, „Tiere in Not“-Poster
Das Kind äußert, dass jede Familie anders aussieht – und das gut so ist.;Ethik und Gesellschaft;Gesellschaft;Familienvielfalt;Förderung von Akzeptanz gegenüber verschiedenen Lebensmodellen;4+ Jahre;Familienbuch gestalten, Gespräch „So ist meine Familie“, Rollenspiele zu Familienformen
Das Kind schlägt vor, Ressourcen wie Papier zu sparen.;Ethik und Gesellschaft;Ethik;Ressourcenschonung;Förderung ökologischer Verantwortung im Alltag;4+ Jahre;Papier-Upcycling, Gespräch „Was braucht man wirklich?“, Nachhaltigkeitsbox
Das Kind stellt fest, dass Tiere unterschiedlich behandelt werden – „Das ist nicht fair.“;Ethik und Gesellschaft;Ethik;Tiergerechtigkeit;Förderung von Empathie und kritischem Denken;5+ Jahre;Tiervergleiche diskutieren, Geschichte „Leo, das Labor-Lämmchen“, „Tier ist Tier“-Plakat
Das Kind äußert den Wunsch, mehr über die Natur und wie man sie schützen kann zu erfahren.;Ethik und Gesellschaft;Ethik;Naturbewusstsein;Förderung des Wissens über Natur- und Umweltschutz;4+ Jahre;Waldtage, Naturbeobachtungen, Schutzplakate gestalten
Das Kind sagt: „Wenn jemand traurig ist, muss man fragen, was los ist.“;Ethik und Gesellschaft;Ethik;Soziale Achtsamkeit;Förderung von Sensibilität und moralischem Handeln;3+ Jahre;Geschichten über Achtsamkeit, „Was fühlst du?“-Karten, Mitfühlspiel
Das Kind möchte wissen, was ein anderes Kind in seiner Sprache sagt.;Ethik und Gesellschaft;Gesellschaft;Sprachliche Integration;Förderung von Neugier und Sprachsensibilität;4+ Jahre;Wörterbuch für Kinder, Begrüßungen in verschiedenen Sprachen, Sprach-Partnerschaften
Das Kind sagt: „Ich will, dass XY auch mitspielen darf.“;Ethik und Gesellschaft;Gesellschaft;Teilhabe;Förderung von Inklusion und Gemeinschaftsgefühl;3+ Jahre;Mitspiel-Karten, Gespräch über Zugehörigkeit, Willkommenskreis
Das Kind fragt, warum ein Kind nicht so gut Deutsch spricht.;Ethik und Gesellschaft;Gesellschaft;Mehrsprachigkeit verstehen;Förderung interkultureller Sensibilität;4+ Jahre;Sprachen-Rad, Geschichten in mehreren Sprachen, Sprachspiele mit Übersetzungen
Das Kind sagt: „Ich komme auch aus einem anderen Land.“;Ethik und Gesellschaft;Gesellschaft;Selbstidentifikation;Förderung von Stolz auf die eigene Herkunft;3+ Jahre;Herkunftsbücher, Weltkartenarbeit, „Woher komme ich?“-Kreis
Das Kind bringt ein Gericht aus seiner Kultur zum Teilen mit.;Ethik und Gesellschaft;Gesellschaft;Kulturelle Vielfalt;Förderung von Wertschätzung kultureller Unterschiede;5+ Jahre;Internationales Buffet, Rezeptbuch der Gruppe, Kulturkochbuch
Das Kind erzählt von einem Fest aus der Heimat seiner Familie.;Ethik und Gesellschaft;Gesellschaft;Interkulturelle Bildung;Förderung von Offenheit und Interesse;4+ Jahre;Feste der Welt besprechen, Gast-Eltern einladen, Feiertagskalender
Das Kind hilft einem neu angekommenen Kind, sich zurechtzufinden.;Ethik und Gesellschaft;Gesellschaft;Integrationshilfe;Förderung von Mitgefühl und Unterstützung;4+ Jahre;Patenkind-System, Hilfeplakate, Eingewöhnungshelfer*innen wählen
Das Kind fragt, warum jemand ein Kopftuch trägt.;Ethik und Gesellschaft;Gesellschaft;Religiöse Vielfalt;Förderung von Akzeptanz religiöser Ausdrucksformen;5+ Jahre;Kleidungsstücke aus Kulturen zeigen, Gespräch über Religion, Bilderbuch „Warum trägst du das?“
Das Kind stellt fest, dass nicht alle Kinder Weihnachten feiern.;Ethik und Gesellschaft;Gesellschaft;Feierkultur;Förderung von Akzeptanz gegenüber Unterschiedlichkeit;4+ Jahre;Festekalender, Feiertagsplakat, Geschichten aus verschiedenen Religionen
Das Kind möchte einem Kind aus der Ukraine ein Lied zeigen.;Ethik und Gesellschaft;Gesellschaft;Kultureller Austausch;Förderung von Verbindung durch Musik und Spiel;3+ Jahre;Lieder aus der Heimat, gemeinsame Musikrunden, Liederbüchlein gestalten
Das Kind sagt: „Wir sind alle verschieden, aber wir spielen zusammen.“;Ethik und Gesellschaft;Gesellschaft;Gemeinschaftsbildung;Förderung von Zugehörigkeit und Vielfalt;4+ Jahre;Vielfaltsbaum, Ich-du-wir-Spiele, Rollenspiele zu Verschiedenheit
Das Kind möchte seine Muttersprache vorstellen.;Ethik und Gesellschaft;Gesellschaft;Sprachliche Vielfalt;Förderung von Identität und gegenseitigem Respekt;5+ Jahre;Muttersprache vorstellen, Sprach-Memory, Begrüßungsspiel in verschiedenen Sprachen
Das Kind fragt: „Was bedeutet Flüchtling?“;Ethik und Gesellschaft;Ethik;Weltgeschehen kindgerecht;Förderung von Empathie und Verständnis globaler Themen;5+ Jahre;Fluchtgeschichten für Kinder, Gespräch über Zuhause, Symbolspiel „Rucksack packen“
Das Kind zeigt Interesse an den Ländern auf dem Globus.;Ethik und Gesellschaft;Gesellschaft;Globales Bewusstsein;Förderung von Weltwissen und Verbundenheit;4+ Jahre;Weltkartenarbeit, Länder-Quiz, Flaggen-Memory
Das Kind bemerkt, dass jemand traurig ist, weil es niemand versteht.;Ethik und Gesellschaft;Ethik;Empathie bei Sprachbarrieren;Förderung von emotionaler Intelligenz und Hilfeverhalten;3+ Jahre;Gefühlskarten, Gespräche über Sprachlosigkeit, Gestenspiele
Das Kind fragt, warum eine Familie in der Unterkunft wohnt.;Ethik und Gesellschaft;Gesellschaft;Soziale Integration;Förderung von Verständnis für Lebenssituationen;5+ Jahre;Gespräch „Wie wohnen Menschen?“, Bücher über Flucht und Armut, Wohnmodelle bauen
Das Kind will, dass alle Kinder bei einem Lied mitmachen können.;Ethik und Gesellschaft;Gesellschaft;Teilhabe ermöglichen;Förderung von Gerechtigkeit und Chancengleichheit;3+ Jahre;Spiele mit nonverbalem Zugang, Lieder mit Gebärden, Mitmachrituale
Das Kind zeigt Stolz auf sein Land und erzählt davon.;Ethik und Gesellschaft;Gesellschaft;Identitätsentwicklung;Förderung von interkulturellem Respekt;4+ Jahre;Flaggen malen, Länder vorstellen, „Das ist mein Land“-Kreis
Das Kind fragt nach einem unbekannten Essen aus der Brotdose eines anderen Kindes.;Ethik und Gesellschaft;Gesellschaft;Esskulturvielfalt;Förderung von Neugier und Anerkennung kultureller Unterschiede;3+ Jahre;Brotbox-Dialog, Essen vorstellen, Geschichten über Speisen
Das Kind schlägt vor, Bilderbücher aus verschiedenen Ländern anzuschauen.;Ethik und Gesellschaft;Gesellschaft;Interkulturelles Lernen;Förderung kultureller Vielfalt in Medien;4+ Jahre;Bilderbuchausstellung, Kinderliteratur weltweit, Leseaktionen mit Eltern
Das Kind fragt: „Was ist der Unterschied zwischen Kultur und Religion?“;Ethik und Gesellschaft;Ethik;Begriffsklärung;Förderung von Differenzierungsfähigkeit und Diskussionskultur;5+ Jahre;Gesprächsrunde, Begriffe bebildern, Kultur- und Religionspuzzle
Das Kind reagiert verunsichert auf Kleidung eines anderen Kindes.;Ethik und Gesellschaft;Gesellschaft;Offenheit;Förderung der Reflexion über Vorurteile;4+ Jahre;Mode aus aller Welt, „Wer trägt was wann?“, Kleidertag in der Gruppe
Das Kind möchte etwas über das Herkunftsland eines anderen Kindes lernen.;Ethik und Gesellschaft;Gesellschaft;Interesse an anderen Kulturen;Förderung von Wissbegierde und Respekt;4+ Jahre;Länderbuch gestalten, Familienvorstellung, Reisetagebuch basteln
Das Kind erzählt stolz von einer Tradition seiner Familie.;Ethik und Gesellschaft;Gesellschaft;Traditionsbewusstsein;Förderung von kultureller Identität und Austausch;4+ Jahre;Traditionen erzählen, Familienfeste in der Kita, Plakat „So feiern wir“
Das Kind fragt, warum ein Kind nicht an bestimmten Aktivitäten teilnimmt.;Ethik und Gesellschaft;Ethik;Religiöse Praxis;Förderung von Verständnis für religiöse Hintergründe;5+ Jahre;Fasten besprechen, Religionen kennen lernen, Gespräch über Regeln und Werte
Das Kind zeigt Interesse daran, wie Kinder in Kriegsgebieten leben.;Ethik und Gesellschaft;Ethik;Solidarität weltweit;Förderung von Empathie und globalem Denken;5+ Jahre;Kinderrechte weltweit, Gespräche über Frieden, Wunschkarten in andere Länder schicken
Das Kind bringt eine Geschichte aus dem Herkunftsland seiner Eltern mit.;Ethik und Gesellschaft;Gesellschaft;Kulturelle Erzähltradition;Förderung von interkultureller Narration und Teilhabe;4+ Jahre;Erzählkreis, Geschichten aus der Heimat, Erzähltag der Familien
Das Kind sagt: „Bei uns zu Hause spricht Papa eine andere Sprache.“;Ethik und Gesellschaft;Gesellschaft;Sprachbiografien;Förderung des Verständnisses für Mehrsprachigkeit;3+ Jahre;Sprachporträts, Sprachenbaum, Wer spricht was zu Hause?
Das Kind möchte beim Nationalitäten-Projekt mithelfen.;Ethik und Gesellschaft;Gesellschaft;Vielfalt aktiv gestalten;Förderung von Verantwortungsbewusstsein und Projektarbeit;5+ Jahre;Kinder gestalten Infoplakate, Fotoprojekt „Vielfalt ist schön“, Kulturmosaik
Das Kind bittet darum, dass eine Geschichte auch auf Arabisch vorgelesen wird.;Ethik und Gesellschaft;Gesellschaft;Mehrsprachigkeit leben;Förderung von Teilhabe und sprachlicher Anerkennung;4+ Jahre;Mehrsprachige Geschichtenrunde, Elternlesetag, Sprache des Tages
Das Kind sagt: „Ich will wissen, wo alle Kinder herkommen.“;Ethik und Gesellschaft;Gesellschaft;Herkunftsinteresse;Förderung von Transparenz und Neugier auf Identitäten;4+ Jahre;Landkartenarbeit, Familienfahnen malen, „Ich komme von...“-Buch
Das Kind fragt, warum die Straße nach einer bestimmten Person benannt ist.;Ethik und Gesellschaft;Gesellschaft;Lokalgeschichte;Förderung von Geschichtsbewusstsein und Ortsbindung;5+ Jahre;Spaziergang zu Straßennamen, Biografien kindgerecht erklären, Name-Ratespiel
Das Kind erkennt das Wappen der Gemeinde und fragt nach dessen Bedeutung.;Ethik und Gesellschaft;Gesellschaft;Symbolverständnis;Förderung von lokalem Zugehörigkeitsgefühl;5+ Jahre;Gemeindewappen basteln, Heraldik-Geschichte, Besuch im Gemeindeamt
Das Kind interessiert sich für alte Fotos aus dem Ort.;Ethik und Gesellschaft;Gesellschaft;Vergangenheit verstehen;Förderung von Geschichtsbewusstsein;5+ Jahre;Bildervergleich „Früher und heute“, Gespräch mit älteren Menschen, Dorfrundgang mit alten Bildern
Das Kind erzählt von einem Besuch im Seniorenheim.;Ethik und Gesellschaft;Gesellschaft;Generationenbegegnung;Förderung von Respekt und Empathie für ältere Menschen;4+ Jahre;Besuch im Seniorenheim, gemeinsame Spiele, Erzähltage mit Großeltern
Das Kind fragt, wie das Leben früher ohne Internet war.;Ethik und Gesellschaft;Gesellschaft;Alltagsgeschichte;Förderung von Reflexion über technischen Fortschritt;5+ Jahre;„Früher vs. heute“-Tafel, Gespräch mit Großeltern, alte Geräte ausprobieren
Das Kind möchte wissen, wer in der Gemeinde das Sagen hat.;Ethik und Gesellschaft;Gesellschaft;Demokratieverständnis;Förderung von Mitbestimmung und politischem Grundwissen;5+ Jahre;Bürgermeister*in einladen, Mini-Wahlspiel, Kinderparlament
Das Kind beschreibt, was es an seinem Wohnort besonders mag.;Ethik und Gesellschaft;Gesellschaft;Ortsidentität;Förderung von Heimatverbundenheit und Umweltsensibilität;4+ Jahre;Ortskarte gestalten, Lieblingsorte malen, Dorfprojekt basteln
Das Kind möchte Müll aus dem Park aufsammeln, weil „es sonst nicht schön ist“.;Ethik und Gesellschaft;Gesellschaft;Gemeinwohlverantwortung;Förderung von Umweltethik und Engagement;4+ Jahre;Gemeindeputz, Mülldetektivspiel, Gespräch über öffentliche Räume
Das Kind fragt, was die Gemeinde für Kinder macht.;Ethik und Gesellschaft;Gesellschaft;Kommunale Strukturen;Förderung von Verständnis für lokale Strukturen;5+ Jahre;Interview mit Gemeindevertreter*in, Besuch im Rathaus, Kinderfragen-Sprechstunde
Das Kind hört aufmerksam zu, wenn ein älterer Mensch von früher erzählt.;Ethik und Gesellschaft;Gesellschaft;Generationenlernen;Förderung von Wertschätzung und Zuhörkultur;4+ Jahre;Erzählcafé, Biografiearbeit, „Mein Leben früher“-Projekt
Das Kind fragt, warum in einem Land Krieg ist.;Ethik und Gesellschaft;Ethik;Frieden und Gerechtigkeit;Förderung von globalem Mitgefühl und Interesse;5+ Jahre;Friedenssymbol basteln, Gespräch über Konflikte, Kinderbuch über Frieden lesen
Das Kind interessiert sich für Berufe im Rathaus.;Ethik und Gesellschaft;Gesellschaft;Berufswissen lokal;Förderung von Wissen über Gemeindestrukturen;4+ Jahre;Rollenspiel „Rathaus“, Berufe vorstellen, Besuch vom Amtsleiter
Das Kind fragt: „Was bedeutet eigentlich Österreich?“;Ethik und Gesellschaft;Gesellschaft;Staatsverständnis;Förderung von nationalem Wissen und Identifikation;5+ Jahre;Österreichkarte erkunden, Hymne singen, Flagge gestalten
Das Kind fragt, warum Menschen wählen dürfen.;Ethik und Gesellschaft;Gesellschaft;Demokratiebildung;Förderung von Verständnis für Mitbestimmung;5+ Jahre;Kindergartenwahl durchführen, Wahlsymbole erklären, Gespräch über Gerechtigkeit
Das Kind fragt nach dem Beruf der Bürgermeisterin.;Ethik und Gesellschaft;Gesellschaft;Politische Rollen;Förderung von Rollenverständnis in einer Demokratie;4+ Jahre;Berufsplakat „Bürgermeister*in“, Rollenspiel Gemeinderat, Fragenkatalog erstellen
Das Kind erkennt einen alten Bauernhof und fragt nach seiner Funktion.;Ethik und Gesellschaft;Gesellschaft;Traditionelles Leben;Förderung von Alltags- und Landwirtschaftsverständnis;4+ Jahre;Bauernhofbesuch, alte Werkzeuge ansehen, Bilderbuch über Bauernleben
Das Kind fragt, warum es Flüchtlingsheime gibt.;Ethik und Gesellschaft;Ethik;Flucht und Hilfe;Förderung von globalem Verantwortungsbewusstsein;5+ Jahre;Kinderbuch über Flucht, Gesprächsrunde über Zuhause, „Was braucht man zum Leben“-Spiel
Das Kind erkennt auf einem Plakat das Symbol für Barrierefreiheit.;Ethik und Gesellschaft;Gesellschaft;Inklusionsbewusstsein;Förderung von Achtsamkeit für Teilhabe;5+ Jahre;Barrieren im Haus erkennen, Gespräch über Hilfsmittel, Rollenspiele „Was wäre wenn…?“
Das Kind fragt nach, warum die Kirche alt aussieht.;Ethik und Gesellschaft;Gesellschaft;Kulturgeschichte;Förderung von historischer Neugier und Respekt;4+ Jahre;Kirchenbesuch, Architekturdialog, „Was war früher hier?“
Das Kind erkennt das Ortsschild und fragt, was es bedeutet.;Ethik und Gesellschaft;Gesellschaft;Orientierungswissen;Förderung von Raumverständnis und Strukturwissen;3+ Jahre;Ortsschilder nachbauen, Ortsschilderspiel, Fototour mit Straßenschildern
Das Kind fragt nach einem Brauch, der im Ort gefeiert wird.;Ethik und Gesellschaft;Gesellschaft;Brauchverständnis;Förderung von kulturellem Wissen und Identität;4+ Jahre;Faschingsrituale, Erntedank erleben, Interview mit Brauchtumsperson
Das Kind beschreibt Unterschiede zwischen Stadt und Land.;Ethik und Gesellschaft;Gesellschaft;Lebensräume vergleichen;Förderung von Raumverständnis und Perspektivenwechsel;5+ Jahre;Stadt-Land-Spiel, Kartenarbeit, Gespräch über Wohnorte
Das Kind möchte wissen, warum der Spielplatz von der Gemeinde ist.;Ethik und Gesellschaft;Gesellschaft;Öffentliches Gut;Förderung von Verständnis für geteilte Räume;4+ Jahre;Spielplatzregeln besprechen, Müllaktion starten, Verantwortungskärtchen
Das Kind fragt nach, was ein Friedhof ist.;Ethik und Gesellschaft;Ethik;Umgang mit Tod;Förderung von Trauerkultur und Respekt;5+ Jahre;Friedhofbesuch (symbolisch), Gespräch über Sterben, Geschichten über Erinnern
Das Kind beschreibt, was seine Großeltern „damals“ erlebt haben.;Ethik und Gesellschaft;Gesellschaft;Zeitzeugenschaft;Förderung von Respekt für Lebensgeschichten;5+ Jahre;Interview mit Großeltern, Ahnenforschung mit Bildern, Geschichten weitergeben
Das Kind möchte, dass ein alter Mensch an einem Fest teilnehmen kann.;Ethik und Gesellschaft;Gesellschaft;Teilhabe aller;Förderung von Inklusion und generationsübergreifender Verbindung;4+ Jahre;Einladung schreiben, gemeinsames Fest planen, generationsübergreifende Tänze
Das Kind fragt nach einem Denkmal im Ort.;Ethik und Gesellschaft;Gesellschaft;Denkmalverständnis;Förderung von historischem Bewusstsein;5+ Jahre;Denkmalrundgang, Mini-Denkmal bauen, „Warum erinnert man sich?“
Das Kind ist fasziniert von Uniformen und fragt nach ihrer Bedeutung.;Ethik und Gesellschaft;Gesellschaft;Berufskultur verstehen;Förderung von Funktions- und Ordnungsbewusstsein;4+ Jahre;Berufsbekleidung zeigen, Uniformenspiel, Gespräch über Ordnungskräfte
Das Kind beobachtet eine Wahl und möchte wissen, was da passiert.;Ethik und Gesellschaft;Gesellschaft;Partizipation;Förderung des Verständnisses für demokratische Abläufe;5+ Jahre;Wahl nachstellen, Kinderwahl vorbereiten, Wahllokal besuchen
Das Kind interessiert sich dafür, wie die Müllabfuhr funktioniert.;Ethik und Gesellschaft;Gesellschaft;Gemeinwesen verstehen;Förderung von Alltagsverständnis und gesellschaftlicher Ordnung;4+ Jahre;Besuch der Müllabfuhr, Müllsortierspiel, Gespräch mit Müllwerker*in
