Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind wirft ein Spielzeug nicht, obwohl es wütend ist;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Impulsverhalten; Förderung von Handlungskontrolle und emotionaler Sicherheit; 3+ Jahre; Emotionskarten, Wutball, Geschichten über Gefühle
Das Kind sagt: „Ich bin sauer“ statt zu schreien;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Gefühlsausdruck; Förderung von verbalem Emotionsausdruck und Selbstregulation; 4+ Jahre; Gefühlsampel, Emotionsgespräche, Spiegelübungen
Das Kind verlässt das Spiel, statt sich zu streiten;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Rückzug als Strategie; Förderung von Selbstschutz und Konfliktvermeidung; 4+ Jahre; Rückzugsorte einrichten, Ruhezeichen einführen, Gespräche über Alternativen
Das Kind bittet um Hilfe, wenn es überfordert ist;Emotionen und soziale Beziehungen; Emotionale Kompetenz; Hilfe holen; Förderung von Selbstfürsorge und sozialer Kommunikation; 3+ Jahre; Rollenspiele „Hilfe holen“, Ich-brauche-Hilfe-Karten, Hilfe-Rituale
Das Kind sagt nach einem Wutanfall: „Ich hätte lieber ruhig gezählt“;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Reflexion emotionaler Strategien; Förderung von metakognitivem Denken und Lernbereitschaft; 5+ Jahre; Gefühls-Tagebuch, Geschichten über starke Emotionen, Emotionsplakate gestalten
Das Kind läuft wütend davon, kommt aber später zurück zum Gespräch;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Rückkehr zur Gruppe; Förderung von sozialem Wiedereinstieg und Konfliktlösung; 4+ Jahre; Rückkehr-Rituale, Wiederversöhnungsspiel, Gespräch über „Runterkommen“
Das Kind schlägt nicht zurück, sondern ruft „Stopp“;Emotionen und soziale Beziehungen; Soziale Kompetenz; Selbstbehauptung; Förderung von Gewaltfreiheit und Selbstregulation; 3+ Jahre; Stopp-Regel üben, Körperwahrnehmungsspiele, Rollenspiel „Nein sagen“
Das Kind ärgert sich leise, anstatt laut zu schreien;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Leiser Emotionsausdruck; Förderung von innerer Regulation; 5+ Jahre; Emotionsbarometer, Leise-Wut-Box, Fantasiereisen
Das Kind hört bei einem Streit auf zu reden und atmet tief durch;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Atemkontrolle; Förderung von Stressregulation und Emotionskontrolle; 4+ Jahre; Atemspiele, Löwenatmung, Emotionsyoga
Das Kind schimpft mit sich selbst: „Das war doof von mir“;Emotionen und soziale Beziehungen; Emotionale Kompetenz; Selbstreflexion; Förderung von Einsicht und Selbststeuerung; 5+ Jahre; Gedankenblasen malen, Rollenspiele zur Fehleranalyse, Selbsteinschätzungsplakate
Das Kind akzeptiert eine Niederlage im Spiel;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Umgang mit Misserfolg; Förderung von Resilienz und Frustrationstoleranz; 4+ Jahre; Brettspiele mit Wechselgewinnern, Gesprächsrunden „Was lerne ich beim Verlieren?“, Mutmachgeschichten
Das Kind beobachtet, dass jemand anderes das Spiel gewonnen hat und klatscht mit;Emotionen und soziale Beziehungen; Soziale Kompetenz; Freude für andere; Förderung von Anerkennung und Selbstzurücknahme; 5+ Jahre; Lob-Rituale, Wettbewerbe ohne Preise, Gemeinschaftsspiele
Das Kind weint, weil etwas nicht klappt, hört aber schnell wieder auf;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Kurzzeitige Frustration; Förderung von Emotionsausdruck und Selbstberuhigung; 3+ Jahre; Tröstekiste, Gefühlstierchen, Beruhigungsrituale
Das Kind versucht es erneut nach einem Fehlschlag;Emotionen und soziale Beziehungen; Lernmethodische Kompetenz; Umgang mit Misserfolg; Förderung von Ausdauer und Selbstwirksamkeit; 5+ Jahre; „Nochmal versuchen“-Spiele, Geschichten über Durchhalten, Fehler sind erlaubt-Projekt
Das Kind geht wütend an die Seite und beobachtet andere;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Abstand nehmen; Förderung von Emotionskontrolle und Selbstbeobachtung; 4+ Jahre; Beobachterrolle zulassen, Beobachtungsplätze im Raum, Emotionskreis
Das Kind wählt bewusst ein ruhiges Spiel nach einem Konflikt;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Selbststeuerung; Förderung von Entlastungsstrategien; 4+ Jahre; Spiele zur Selbstberuhigung, Auswahlbox „Was tut mir gut?“, Kuschelzeit
Das Kind macht bei einem Spiel weiter, obwohl es verliert;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Durchhaltevermögen; Förderung von Anstrengungsbereitschaft; 5+ Jahre; Kooperationsspiele, Gruppenziele, Ausdauerspiele
Das Kind wird laut, beruhigt sich aber auf Hinweis der Fachkraft;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Reaktion auf Feedback; Förderung von Anpassungsfähigkeit; 3+ Jahre; Spiegelgespräche, Nonverbale Signale, Aufmerksamkeitsübungen
Das Kind schimpft, aber schreit nicht;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Tonregulation; Förderung von respektvollem Emotionsausdruck; 4+ Jahre; Lautstärkespiele, Ampelstimme üben, Stimmenspiel mit Musikinstrumenten
Das Kind sagt nach einem Konflikt: „Ich mag den trotzdem“;Emotionen und soziale Beziehungen; Emotionale Kompetenz; Ambivalenz aushalten; Förderung von Beziehungsfähigkeit; 5+ Jahre; Geschichten über Zwiespalt, Rollenspiele zu Streit und Nähe, Freundschaftscollage
Das Kind schreit kurz und entschuldigt sich direkt;Emotionen und soziale Beziehungen; Soziale Kompetenz; Einsicht zeigen; Förderung von Selbstkorrektur; 4+ Jahre; Streitrituale, Emotionsreflexion, Entschuldigungsspiele
Das Kind spürt Wut aufsteigen und zieht sich bewusst zurück;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Frühwarnzeichen erkennen; Förderung von Achtsamkeit; 5+ Jahre; Körperlandkarten, Emotionsstoppschild, Wutfrei-Zonen
Das Kind sagt: „Ich schreib das in mein Wutbuch“;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Schriftlicher Ausdruck; Förderung von Reflexion und Entladung; 5+ Jahre; Wutbuch, Gefühlstagebuch, Mal dein Gefühl-Aktionen
Das Kind bleibt ruhig, obwohl es von anderen Kindern gehänselt wird;Emotionen und soziale Beziehungen; Emotionale Selbstregulation; Standhaftigkeit; Förderung von Selbstbewusstsein und Resilienz; 5+ Jahre; Gespräch über Grenzsetzung, Rollenspiele zu Provokation, Ich-bin-okay-Rituale
Das Kind lacht über ein anderes Kind, das sich versprochen hat.;Emotionen und soziale Beziehungen; Soziale Kompetenz;Respekt;Das Kind lernt, dass alle Fehler machen dürfen und niemand ausgelacht wird.;4+;Fehlergeschichten, „Wie fühlt sich das an?“-Spiel, Rollenspiele zu Respekt.
Das Kind fordert ein anderes Kind auf, nicht auf dem Gehweg zu rennen.;Emotionen und soziale Beziehungen; Soziale Kompetenz;Regeln und Sicherheit;Das Kind erkennt den Sinn von Regeln für die Gemeinschaft.;4+;Verkehrsregel-Spaziergang, „Warum gibt es Regeln?“-Diskussion, Ampelspiel.
Das Kind meckert, dass jemand anders die Aufgabe nicht richtig gemacht hat.;Emotionen und soziale Beziehungen; Soziale Kompetenz;Akzeptanz von Fehlern;Das Kind versteht, dass Fehler zum Lernen gehören.;4+;„Fehler sind okay“-Bilderbuch, Fehler-Experimente, Geschichte „Als ich einen Fehler machte“.
Das Kind verteidigt ein anderes Kind, das gehänselt wird.;Emotionen und soziale Beziehungen; Soziale Kompetenz;Gerechtigkeitssinn, Solidarität;Förderung von Gerechtigkeitssinn und sozialer Solidarität.;5+ Jahre;Bilderbuch „Stopp, das will ich nicht!“, Rollenspiel „Wie kann ich helfen?“, Gesprächsrunde über Fairness.
Das Kind möchte Verantwortung für ein Gruppenprojekt übernehmen.;Emotionen und soziale Beziehungen;Gesellschaft;Partizipation, Engagement;Förderung von Eigenverantwortung und Mitbestimmung.;5+ Jahre;Kinderkonferenz abhalten, „Was kann ich beitragen?“-Projekt, Gruppenaufgaben verteilen.
Das Kind regt an, anderen Kindern beim Aufräumen zu helfen.;Emotionen und soziale Beziehungen;Gesellschaft;Verantwortungsbewusstsein, Gemeinschaftssinn;Förderung von Eigeninitiative und Teamgeist.;4+ Jahre;Gruppenaufgaben verteilen, „Wir helfen zusammen“-Challenge, Teamspiele mit kooperativen Aufgaben.
Das Kind freut sich über Lob für gutes Verhalten und hilft dann noch lieber.;Emotionen und soziale Beziehungen;Gesellschaft;Selbstwert, Motivation;Förderung von Selbstwertgefühl und positiver Verstärkung.;3+ Jahre;„Lobkärtchen“ für gute Taten, Reflexion über positives Verhalten, gegenseitiges Loben in der Gruppe.
Das Kind diskutiert im Stuhlkreis, dass es ungerecht sei, wenn immer dieselben Kinder aufräumen müssen.;Emotionen und soziale Beziehungen;Gesellschaft;Gerechtigkeit, Verantwortung;Das Kind entwickelt ein Gefühl für Fairness im Alltag.;5+ Jahre;Aufräumdienst mit wöchentlich wechselnder Verantwortung, Abstimmungen im Kinderparlament
Das Kind bringt Spielsachen mit, um sie mit anderen zu teilen;Emotionen und soziale Beziehungen;Gesellschaft;Solidarität, Hilfsbereitschaft;Das Kind entwickelt ein Gefühl für Mitverantwortung in der Gruppe und hilft anderen bewusst;4+ Jahre;Gemeinsames Aufräumen nach Projekten,  Spendenaktion für das Tierheim,  Spielzeugtag mit Tauschbörse Spendenaktion für das Tierheim Spielzeugtag mit Tauschbörse
Das Kind sagt laut, wenn es ungerecht behandelt wurde;Emotionen und soziale Beziehungen;Gesellschaft;Gerechtigkeitssinn;Das Kind entwickelt ein Gespür für Fairness und lernt, seine Meinung gewaltfrei zu äußern;5+ Jahre;Kinderkonferenz Rollenspiele zu Gerechtigkeit Entscheidungsfindung im Morgenkreis
Das Kind versucht, Streit zwischen anderen Kindern zu lösen;Emotionen und soziale Beziehungen;Gesellschaft;Konfliktlösung, Perspektivwechsel;Das Kind erkennt verschiedene Standpunkte und hilft, Lösungen zu finden;4+ Jahre;Friedensbotschafter*innen benennen Konfliktkiste einführen Streitschlichter-Spiele
Das Kind erklärt, warum es zu Hause andere Regeln gibt;Emotionen und soziale Beziehungen;Gesellschaft;Regelverständnis, kulturelle Unterschiede;Das Kind versteht, dass Regeln kontextabhängig sind, und akzeptiert unterschiedliche Lebensweisen;5+ Jahre;Regelplakat „Zuhause/Kita“ Kulturen-Vergleich im Morgenkreis Besuch einer Familie
Das Kind hinterfragt eine Gruppenentscheidung;Emotionen und soziale Beziehungen;Gesellschaft;Kritisches Denken, Mitbestimmung;Das Kind übt sich darin, Entscheidungen zu reflektieren und Alternativen zu diskutieren;5+ Jahre;Abstimmungen im Kinderparlament Pro- und Kontra-Spiele Dilemma-Geschichten
Das Kind bemerkt, dass ein anderes Kind ausgeschlossen wird;Emotionen und soziale Beziehungen;Gesellschaft;Zivilcourage, Toleranz;Das Kind lernt, sich für andere einzusetzen und Ausgrenzung zu erkennen;5+ Jahre;Anti-Ausgrenzungs-Spiel Kinderrechte-Tag feiern Theaterstück zu Vielfalt
Das Kind übernimmt Aufgaben für andere Kinder freiwillig;Emotionen und soziale Beziehungen;Gesellschaft;Hilfsbereitschaft, Verantwortung;Das Kind entwickelt Verantwortungsbewusstsein gegenüber anderen;4+ Jahre;Aufgabentafel für Helferrollen Gruppenprojekte mit Rollenverteilung Patenmodell
Das Kind übernimmt Verantwortung für ein gemeinsames Projekt;Emotionen und soziale Beziehungen;Gesellschaft;Verantwortung, Gruppenzugehörigkeit;Das Kind lernt, für sein Handeln in Gruppenprozessen Verantwortung zu übernehmen;4+ Jahre;Projektarbeit mit Reflexion Gruppenverträge Projektmappe führen
Das Kind übernimmt freiwillig eine Aufgabe beim Aufräumen, ohne dazu aufgefordert zu werden.;Emotionen und soziale Beziehungen;Gesellschaft; Verantwortung, Selbstständigkeit; Das Kind entwickelt Verantwortungsgefühl für gemeinschaftliche Aufgaben.; 4+ Jahre; Aufgabenkarten, Helferdienste, Lobrituale für Engagement.
Das Kind erkennt in einer Geschichte Parallelen zu seinem eigenen Alltag.;Emotionen und soziale Beziehungen;Gesellschaft; Identifikation, Selbstwirksamkeit; Das Kind verknüpft persönliche Erfahrungen mit Geschichten.; 3+ Jahre; Geschichten-Tagebuch, eigene Geschichten erzählen, Figuren gestalten.
Das Kind schlägt vor, für ein krankes Kind ein Genesungspaket zu basteln.;Emotionen und soziale Beziehungen;Gesellschaft; Fürsorge, Gemeinschaft; Das Kind zeigt Mitgefühl und handelt solidarisch.; 4+ Jahre;" Bastelaktionen, ""Wir denken an dich""-Post, Genesungskarten schreiben."
Das Kind äußert den Wunsch, über seine Familie in der Morgenrunde zu erzählen.;Emotionen und soziale Beziehungen;Gesellschaft; Selbstbild, kulturelle Zugehörigkeit; Das Kind stärkt seine Identität, indem es seine Familiengeschichte mit anderen teilt.; 4+ Jahre; „Kultureller Koffer“, Geschichten über Herkunft, Eltern als Gäste einladen.
Das Kind wirft einen Zettel in die „Ich habe eine Idee“-Box.;Emotionen und soziale Beziehungen;Gesellschaft; Partizipation, Mitbestimmung; Das Kind lernt, seine Ideen zu äußern und Veränderungen mitzugestalten.; 4+ Jahre; Wunschbox regelmäßig besprechen, Kinderkonferenzen, visuelle Abstimmungen.
Das Kind bittet darum, bei einem Streit einzugreifen.;Emotionen und soziale Beziehungen;Gesellschaft; Zivilcourage, Konfliktbewältigung; Das Kind entwickelt Mut, sich für andere einzusetzen und Konflikte konstruktiv zu lösen.; 4+ Jahre; Rollenspiele zu Zivilcourage, Geschichten über mutige Kinder, „Stopp“-Regel einüben.
Das Kind sagt, dass etwas „unfair“ sei, weil nur ein Kind bestimmen durfte.;Emotionen und soziale Beziehungen;Gesellschaft; Gerechtigkeit, Machtverteilung; Das Kind entwickelt ein Gefühl für Machtbalance und demokratische Prozesse.; 5+ Jahre; Gruppenentscheidungen üben, Wahlspiele, Kinderrechte thematisieren.
Das Kind erinnert andere daran, dass jedes Kind „Stopp“ sagen darf.;Emotionen und soziale Beziehungen;Gesellschaft; Grenzsetzung, Selbstschutz; Das Kind kennt die „Stopp“-Regel und wendet sie aktiv an.; 4+ Jahre; Rollenspiele, Gefühle benennen lernen, Symbolkarten zur Selbstbehauptung.
Das Kind schlägt vor, ein Kind mit einzubeziehen, das sonst allein spielt.;Emotionen und soziale Beziehungen;Gesellschaft; Empathie, Integration; Das Kind zeigt Mitgefühl und soziales Verantwortungsbewusstsein.; 4+ Jahre; Gruppenspiele mit Teamfokus, Geschichten über Freundschaft, Mitmachkreise.
Das Kind beschreibt traurig, dass es sich anders fühlt als die anderen.;Emotionen und soziale Beziehungen;Gesellschaft; Zugehörigkeit, Identitätsentwicklung; Das Kind reflektiert seine Position in der Gruppe und sucht Anschluss.; 4+ Jahre; Ich-Buch gestalten, Gespräch über Gemeinsamkeiten, Gemeinschaftsrituale stärken.
Das Kind erzählt, dass es gerne anderen hilft.;Emotionen und soziale Beziehungen;Gesellschaft; Hilfsbereitschaft, Mitverantwortung; Das Kind erlebt sich als wichtiger Teil der Gemeinschaft durch selbstgewählte Aufgaben.; 3+ Jahre; Helferlisten führen, „Ich habe geholfen“-Sticker, Gespräch über Hilfe im Alltag.
Das Kind ist neu in den Ort gezogen und kennt noch niemanden in der Nachbarschaft.;Emotionen und soziale Beziehungen;Gesellschaft;Soziale Beziehungen;Förderung des Verständnisses für soziale Beziehungen und Gemeinschaft;3+ Jahre;Gesprächsrunden über Nachbarschaft, Rollenspiele mit Nachbarn, Bilderbücher über Nachbarschaft
Das Kind beschwert sich, dass es nie das gleiche Spielzeug wie andere bekommt.;Emotionen und soziale Beziehungen;Gesellschaft;Gerechtigkeitsempfinden;Förderung von Fairnessbewusstsein und Selbstvertretung;4+ Jahre;Gesprächsrunden zu Fairness, Spielzeug-Rotationssystem, Geschichten über Gerechtigkeit
Das Kind sagt: „Jeder soll gleich lang schaukeln dürfen!“;Emotionen und soziale Beziehungen;Gesellschaft;Teilhabe;Förderung von Regelverständnis und Mitbestimmung;4+ Jahre;Mitmach-Abstimmungen, Sanduhr für Zeitbegrenzung, demokratische Regeln im Morgenkreis
Das Kind macht darauf aufmerksam, dass ein anderes Kind nie beim Tischdienst drankommt.;Emotionen und soziale Beziehungen;Gesellschaft;Solidarität;Förderung von Empathie und Verantwortungsübernahme;5+ Jahre;Tischdienstplan gemeinsam erstellen, Gespräch über Aufgabenverteilung, Verantwortungskärtchen
Das Kind sagt: „Das ist nicht fair!“ bei einem Gruppenspiel.;Emotionen und soziale Beziehungen;Gesellschaft;Fairnessgefühl;Förderung von Perspektivenübernahme und Konfliktlösung;3+ Jahre;Fairplay-Geschichten, Spielregeln reflektieren, Rollenspiele zum Thema „Unfair“
Das Kind möchte, dass beim Malen alle Farben gerecht verteilt werden.;Emotionen und soziale Beziehungen;Gesellschaft;Ressourcen teilen;Förderung von Rücksichtnahme und Materialgerechtigkeit;3+ Jahre;Materialverantwortliche bestimmen, Farben-Tausch-Spiel, Gespräch über „Was brauchen wir alle?“
Das Kind sagt: „Sie darf nie mitmachen, das ist gemein.“;Emotionen und soziale Beziehungen;Gesellschaft;Inklusion;Förderung von sozialer Integration und Mitverantwortung;4+ Jahre;Kooperationsspiele, Inklusionsgeschichten, Gespräch über Zugehörigkeit
Das Kind merkt an, dass es unfair ist, wenn immer die „Großen“ bestimmen.;Emotionen und soziale Beziehungen;Gesellschaft;Altersgerechtigkeit;Förderung von Gleichwertigkeit zwischen Altersgruppen;4+ Jahre;Abstimmungen mit Symbolkarten, Gespräch über Gruppendynamik, altersgemischte Kleingruppen
Das Kind fragt: „Warum darf XY nie mitspielen?“;Emotionen und soziale Beziehungen;Gesellschaft;Zugehörigkeit;Förderung sozialer Verantwortung und Reflexion von Ausschluss;4+ Jahre;Freundschaftstage, Gruppenaufgaben, Gesprächsrunden über Mitmachen
Das Kind erkennt, dass manche Kinder schneller Hilfe bekommen als andere.;Emotionen und soziale Beziehungen;Gesellschaft;Benachteiligung;Förderung von sozialem Bewusstsein und Fairness;5+ Jahre;Beobachtungsaufgaben, Rollenspiel „Wer hilft wem?“, Gespräch über gleiche Chancen
Das Kind sorgt dafür, dass ein ruhigeres Kind bei einem Spiel mit einbezogen wird.;Emotionen und soziale Beziehungen;Gesellschaft;Zivilcourage;Förderung von Mut und Verantwortung;5+ Jahre;Rollenspiel „Ich helfe“, Geschichten über Eingreifen, „Starke Kinder“-Karten
Das Kind sagt: „Alle sollen gleich viele Kekse bekommen.“;Emotionen und soziale Beziehungen;Gesellschaft;Gerechtigkeit im Alltag;Förderung von Sensibilität für Verteilungsgerechtigkeit;3+ Jahre;Verteil-Spiele, Kekstafel gemeinsam aufteilen, Gespräch über Gerechtigkeit
Das Kind fragt, warum jemand kein Geschenk bekommt.;Emotionen und soziale Beziehungen;Gesellschaft;Teilhabe an Feiern;Förderung von Solidarität und Empathie;4+ Jahre;Geschenkideen für alle sammeln, Bastelaktion „Jeder bekommt etwas“, Gespräch über Bedürftigkeit
Das Kind stellt im Spiel klar: „Wir spielen alle gleich wichtig!“;Emotionen und soziale Beziehungen;Gesellschaft;Rollengleichheit;Förderung demokratischen Denkens im Spiel;4+ Jahre;Gruppenregeln formulieren, „Alle sind Held*innen“-Spiel, Gespräch über Gleichwertigkeit
Das Kind sagt: „Wir wechseln – dann ist’s gerecht!“;Emotionen und soziale Beziehungen;Gesellschaft;Kooperation;Förderung von Aushandlungskompetenz und Fairness;4+ Jahre;Spielerotation einführen, Gespräch über Spielzeit, Zeitmesser verwenden
Das Kind möchte, dass auch die stilleren Kinder eine Chance haben zu sprechen.;Emotionen und soziale Beziehungen;Gesellschaft;Partizipation;Förderung von respektvoller Gesprächskultur;5+ Jahre;Redestein einsetzen, Sprechzeit-Rituale, Interviewspiel
Das Kind bemerkt, dass immer die gleichen Kinder beim Basteln drankommen.;Emotionen und soziale Beziehungen;Gesellschaft;Zugänglichkeit;Förderung von Chancenvielfalt im Alltag;4+ Jahre;Beteiligungslisten, Bastelplan, Gespräch über „Jeder bekommt seine Zeit“
Das Kind schlägt vor, dass beim Spiel alle dieselbe Aufgabe bekommen.;Emotionen und soziale Beziehungen;Gesellschaft;Chancengleichheit;Förderung von Gleichstellung in Gruppensituationen;4+ Jahre;Aufgabenzettel zufällig verteilen, Gespräch über Aufgabenverteilung, Gerechtigkeitsspiel
Das Kind sagt: „Wir sollten helfen, wenn jemand etwas nicht kann.“;Emotionen und soziale Beziehungen;Gesellschaft;Hilfsbereitschaft;Förderung von Verantwortlichkeit und Empathie;4+ Jahre;Partneraufgaben, Helferlisten, Geschichten über Hilfe im Alltag
